Dataset,Language,BLEU,COMET
TED,sq,25.29,0.85
TED,bg,32.65,0.81
TED,hr,20.06,0.81
TED,cs,25.47,0.85
TED,da,36.72,0.81
TED,nl,24.82,0.79
TED,et,16.53,0.83
TED,fi,11.34,0.78
TED,fr,27.45,0.77
TED,de,25.62,0.76
TED,el,35.78,0.89
TED,hu,19.21,0.75
TED,is,NA,NA
TED,it,28.96,0.82
TED,lv,NA,NA
TED,lt,13.65,0.78
TED,mk,23.98,0.83
TED,nb,Error,Error
TED,pl,17.16,0.83
TED,pt,32.87,0.79
TED,ro,22.28,0.84
TED,sk,18.94,0.76
TED,sl,23.25,0.76
TED,es,34.06,0.87
TED,sv,37.78,0.87
TED,tr,15.13,0.81
Europarl,bg,40.88,0.91
Europarl,cs,27.26,0.91
Europarl,da,35.09,0.85
Europarl,nl,20.62,0.84
Europarl,et,20.28,0.9
Europarl,fi,22.29,0.86
Europarl,fr,32.83,0.85
Europarl,de,24.66,0.83
Europarl,el,27.97,0.89
Europarl,hu,21.95,0.86
Europarl,it,30.62,0.85
Europarl,lv,20.84,0.86
Europarl,lt,23.99,0.89
Europarl,pl,19.56,0.84
Europarl,pt,34.55,0.86
Europarl,ro,39.22,0.88
Europarl,sk,30.44,0.88
Europarl,sl,33.63,0.91
Europarl,es,37.54,0.85
Europarl,sv,27.14,0.88
Europarl,tr,NA,NA
WMT,bg,21.27,0.71
WMT,cs,16.73,0.66
WMT,da,35.37,0.74
WMT,de,17.65,0.67
WMT,el,23.06,0.71
WMT,es,NA,NA
WMT,et,17.8,0.72
WMT,fi,14.55,0.72
WMT,fr,22.5,0.64
WMT,hu,11.9,0.68
WMT,is,10.83,0.64
WMT,it,24.95,0.67
WMT,lt,8.68,0.68
WMT,lv,13.96,0.63
WMT,nl,23.86,0.69
WMT,pl,12.91,0.63
WMT,pt,20.5,0.7
WMT,ro,23.78,0.68
WMT,sk,15.03,0.64
WMT,sv,35.06,0.73
WMT,tr,15.21,0.69
WMT,hr,19.09,0.69
