Dataset,Language,BLEU,COMET
WMT,bg,0.0,0.34
WMT,cs,0.0,0.37
WMT,da,0.0,0.39
WMT,de,0.0,0.35
WMT,el,0.0,0.38
WMT,es,NA,NA
WMT,et,0.0,0.4
WMT,fi,0.0,0.4
WMT,fr,0.0,0.37
WMT,hu,0.0,0.38
WMT,is,0.0,0.38
WMT,it,0.0,0.38
WMT,lt,0.0,0.38
WMT,lv,0.0,0.38
WMT,nl,0.0,0.37
WMT,pl,0.0,0.38
WMT,pt,0.0,0.39
WMT,ro,0.0,0.37
WMT,sk,0.0,0.38
WMT,sv,0.0,0.38
WMT,tr,0.0,0.37
WMT,hr,0.0,0.37
TED,sq,0.0,0.4
TED,bg,0.0,0.34
TED,hr,0.0,0.39
TED,cs,0.0,0.39
TED,da,0.0,0.37
TED,nl,0.0,0.4
TED,et,0.0,0.39
TED,fi,0.0,0.45
TED,fr,0.0,0.38
TED,de,0.0,0.34
TED,el,0.0,0.41
TED,hu,0.0,0.39
TED,is,NA,NA
TED,it,0.0,0.41
TED,lv,NA,NA
TED,lt,0.0,0.4
TED,mk,0.0,0.37
TED,nb,0.0,0.42
TED,pl,0.0,0.4
TED,pt,0.0,0.38
TED,ro,0.0,0.38
TED,sk,0.0,0.38
TED,sl,0.0,0.41
TED,es,0.0,0.41
TED,sv,0.0,0.37
TED,tr,0.0,0.37
Europarl,bg,0.0,0.32
Europarl,cs,0.0,0.38
Europarl,da,0.0,0.36
Europarl,nl,0.0,0.35
Europarl,et,0.0,0.36
Europarl,fi,0.0,0.37
Europarl,fr,0.0,0.37
Europarl,de,0.0,0.31
Europarl,el,0.0,0.36
Europarl,hu,0.0,0.35
Europarl,it,0.0,0.39
Europarl,lv,0.0,0.38
Europarl,lt,0.0,0.36
Europarl,pl,0.0,0.35
Europarl,pt,0.0,0.37
Europarl,ro,0.0,0.33
Europarl,sk,0.0,0.34
Europarl,sl,0.0,0.36
Europarl,es,0.0,0.39
Europarl,sv,0.0,0.34
Europarl,tr,NA,NA
